artifact,path,rows,sha256
failures_2023,data/raw/expanded/fdic/failures_2023.csv,5,ee779354208420c6ca4b60798e2254ca70c142272d8a4ca09af92124fe82fd7b
institutions_snapshot,data/raw/expanded/fdic/institutions_snapshot.csv,3,8e470d50e4b84b0af7228579b9269d44cc26e100390e41bf72059f2c43b272eb
financials_24735_20220331,data/raw/expanded/fdic/financials_24735_20220331.csv,1,d5ce5786ab3741e8d81c1c24fef71c04154f275ced7f61f4281ca006ec57cd3b
financials_24735_20220630,data/raw/expanded/fdic/financials_24735_20220630.csv,1,09debd241e7f823968232ecd6b8a54ede9cdb6425b58c7bb7458895ec05c2055
financials_24735_20220930,data/raw/expanded/fdic/financials_24735_20220930.csv,1,16caf7e1f2230897f137773bed961a25117f9fcbf2f5af85a2ed79ec219b86a8
financials_24735_20221231,data/raw/expanded/fdic/financials_24735_20221231.csv,1,c4c6b896630a4f3a4ea79cb3237d84930416f00a14e2449e13957fa13e7fb3fe
financials_57053_20220331,data/raw/expanded/fdic/financials_57053_20220331.csv,1,2b505c47cc4b0615ada1625e7bb0b7ee28019bdaf1b08e3d81beabdef6b3ea0b
financials_57053_20220630,data/raw/expanded/fdic/financials_57053_20220630.csv,1,85badadf83148baf7cd956f5d90ada2406f75905b0caef8b7b10fe487ac15d66
financials_57053_20220930,data/raw/expanded/fdic/financials_57053_20220930.csv,1,7f55c859ad9e30ab9b99f16ab39bafd018514f65d3d494d6d1a5461d48abf355
financials_57053_20221231,data/raw/expanded/fdic/financials_57053_20221231.csv,1,96484108b9477f2081d751380c02f94c5fbb7c60eaedaca080a3e2c2d13490f9
financials_59017_20220331,data/raw/expanded/fdic/financials_59017_20220331.csv,1,eb5cc71738920ceec7e28f6c31b3f2d1666d476b6e1f9340508e9c5317d1e848
financials_59017_20220630,data/raw/expanded/fdic/financials_59017_20220630.csv,1,a4e55e56dd8bcbb42e0e5d028e973a700cb8c74583b0a14127dc5e535d9badde
financials_59017_20220930,data/raw/expanded/fdic/financials_59017_20220930.csv,1,52ab86e6ed5a6150f7d6210536fa51d82460cd7875dee7cee55ecbc72c95a40f
financials_59017_20221231,data/raw/expanded/fdic/financials_59017_20221231.csv,1,e1dbe4e7b334fb72c1aa5fb22d84f97db4a8b78d4b5ae77ed02c8ebf05fcfc26
financials_59017_20230331,data/raw/expanded/fdic/financials_59017_20230331.csv,1,8075814639f2fa451ad04a95be7271800ff7af7c8cb1db644b121a1bfe6dd791
