date,value
2004-01-02,-0.708
2004-01-09,-0.716
2004-01-16,-0.725
2004-01-23,-0.735
2004-01-30,-0.748
2004-02-06,-0.764
2004-02-13,-0.78
2004-02-20,-0.793
2004-02-27,-0.798
2004-03-05,-0.796
2004-03-12,-0.791
2004-03-19,-0.785
2004-03-26,-0.782
2004-04-02,-0.782
2004-04-09,-0.78
2004-04-16,-0.77
2004-04-23,-0.75
2004-04-30,-0.723
2004-05-07,-0.695
2004-05-14,-0.675
2004-05-21,-0.668
2004-05-28,-0.672
2004-06-04,-0.681
2004-06-11,-0.686
2004-06-18,-0.683
2004-06-25,-0.675
2004-07-02,-0.666
2004-07-09,-0.663
2004-07-16,-0.668
2004-07-23,-0.681
2004-07-30,-0.696
2004-08-06,-0.707
2004-08-13,-0.714
2004-08-20,-0.715
2004-08-27,-0.715
2004-09-03,-0.712
2004-09-10,-0.706
2004-09-17,-0.696
2004-09-24,-0.679
2004-10-01,-0.656
2004-10-08,-0.633
2004-10-15,-0.618
2004-10-22,-0.616
2004-10-29,-0.627
2004-11-05,-0.647
2004-11-12,-0.67
2004-11-19,-0.686
2004-11-26,-0.693
2004-12-03,-0.691
2004-12-10,-0.686
2004-12-17,-0.68
2004-12-24,-0.676
2004-12-31,-0.676
2005-01-07,-0.677
2005-01-14,-0.679
2005-01-21,-0.682
2005-01-28,-0.686
2005-02-04,-0.692
2005-02-11,-0.696
2005-02-18,-0.695
2005-02-25,-0.686
2005-03-04,-0.666
2005-03-11,-0.641
2005-03-18,-0.614
2005-03-25,-0.591
2005-04-01,-0.576
2005-04-08,-0.57
2005-04-15,-0.569
2005-04-22,-0.57
2005-04-29,-0.571
2005-05-06,-0.57
2005-05-13,-0.567
2005-05-20,-0.563
2005-05-27,-0.558
2005-06-03,-0.55
2005-06-10,-0.54
2005-06-17,-0.529
2005-06-24,-0.521
2005-07-01,-0.517
2005-07-08,-0.518
2005-07-15,-0.523
2005-07-22,-0.526
2005-07-29,-0.526
2005-08-05,-0.518
2005-08-12,-0.507
2005-08-19,-0.491
2005-08-26,-0.473
2005-09-02,-0.453
2005-09-09,-0.434
2005-09-16,-0.416
2005-09-23,-0.405
2005-09-30,-0.405
2005-10-07,-0.421
2005-10-14,-0.449
