series_id,path,rows,first_date,last_date,sha256
ANFCI,data/raw/expanded/fred/ANFCI.csv,1070,2004-01-02,2024-06-28,edfaa2d09bfe70dfb8fe20cac59bddd293767741ba982139b1089c64815064d6
NFCI,data/raw/expanded/fred/NFCI.csv,1070,2004-01-02,2024-06-28,b8f14165c585a081cc99fa4aa11d2654267b8f18687577cd72337e3f631190d9
M2SL,data/raw/expanded/fred/M2SL.csv,246,2004-01-01,2024-06-01,464ddeb3c2cf7a1d535f898a3abf9cc57b0773342c35d3ff597ae1a91b9d144f
RIFSPPFAAD90NB,data/raw/expanded/fred/RIFSPPFAAD90NB.csv,5347,2004-01-01,2024-06-28,15fc08f9b06f0cc266a06c6f5fdeb3244eeb51b8c4568839785877e5386294f8
T10Y3M,data/raw/expanded/fred/T10Y3M.csv,5347,2004-01-01,2024-06-28,3949f774dd9114cf3d77736a67ec4db8982b4abaa17a03cf2264e1680bfd00db
DGS10,data/raw/expanded/fred/DGS10.csv,5347,2004-01-01,2024-06-28,37d90ac9fc080e5a367dd6933f5122fe5a31d4c898a3ea4eb4bc3ae4dadb4ea5
DGS2,data/raw/expanded/fred/DGS2.csv,5347,2004-01-01,2024-06-28,2f349ae29dfe7f4c2b794cb10a034344e261e3127a11409c0dbc49441fede871
DFF,data/raw/expanded/fred/DFF.csv,7487,2004-01-01,2024-06-30,a5cf73ba7736b98ff7357267dfd2ec2e436febebe0b569dd0e533f1f4d49f61b
BAMLH0A0HYM2,data/raw/expanded/fred/BAMLH0A0HYM2.csv,223,2023-08-29,2024-06-30,7ea6633e6ee11d45b3a10f7998cfecf1b696a63eea63deb6bffbe3eda2b0c887
VXVCLS,data/raw/expanded/fred/VXVCLS.csv,4324,2007-12-04,2024-06-28,64d039240591403c777ce6b76b82bb216fb89e0e0bac16700081e0e041dfb6d1
STLFSI4,data/raw/expanded/fred/STLFSI4.csv,1070,2004-01-02,2024-06-28,6dedb4eba523c48d9ec61dfe33219f22cbfe699bedd56941b209d36d74efcdfc
