contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,snapshot_date,expiry
KRE260911C00040000,2026-08-19 18:35:46+00:00,40.0,35.48,32.3,36.3,0.0,0.0,,2,0.500005,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00045000,2026-08-19 18:35:46+00:00,45.0,30.51,27.3,31.3,0.0,0.0,,2,0.500005,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00055000,2026-08-17 18:29:38+00:00,55.0,22.76,17.3,21.45,0.0,0.0,,2,0.7851583984375,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00060000,2026-08-17 18:29:38+00:00,60.0,17.79,12.35,16.5,0.0,0.0,,2,0.64062859375,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00071000,2026-08-28 18:13:06+00:00,71.0,3.65,2.91,4.25,-0.3699999,-9.203978,2.0,1,0.4062559375,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00071500,2026-08-28 18:15:04+00:00,71.5,3.15,2.35,3.8,-0.54999995,-14.864863,4.0,4,0.38477177734374995,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00072000,2026-08-28 18:13:59+00:00,72.0,2.74,2.08,3.4,-0.55999994,-16.969696,6.0,12,0.372076591796875,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00072500,2026-08-28 18:12:09+00:00,72.5,2.35,1.77,2.77,-0.43000007,-15.4676285,2.0,9,0.31153032226562494,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00073000,2026-08-28 18:32:02+00:00,73.0,2.01,0.12,3.9,-0.3900001,-16.250004,5.0,21,0.5788616333007812,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00073500,2026-08-28 18:08:46+00:00,73.5,1.68,0.0,3.95,-0.25,-12.953368,4.0,3,0.6357458300781251,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00074000,2026-08-25 17:12:19+00:00,74.0,1.73,0.0,3.6,0.0,0.0,706.0,707,0.6179237426757813,True,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00074500,2026-08-28 17:37:50+00:00,74.5,1.05,0.0,3.35,-0.09000003,-7.8947396,25.0,16,0.6162147753906251,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00075000,2026-08-28 18:58:39+00:00,75.0,0.83,0.0,1.14,-0.09000003,-9.782612,5.0,193,0.2602613037109375,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00075500,2026-08-28 17:11:17+00:00,75.5,0.66,0.0,2.85,-0.32999998,-33.333332,37.0,9,0.6062051098632814,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00076000,2026-08-28 15:05:10+00:00,76.0,0.53,0.0,1.83,-0.02000004,-3.636371,1.0,1005,0.45825737060546884,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00076500,2026-08-26 14:37:54+00:00,76.5,0.55,0.0,2.11,0.0,0.0,20.0,35,0.543949873046875,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00077000,2026-08-28 15:27:31+00:00,77.0,0.34,0.0,2.02,0.0,0.0,1.0,19,0.5603071313476562,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00077500,2026-08-18 14:09:24+00:00,77.5,1.77,0.0,2.39,0.0,0.0,2.0,4,0.6613803393554689,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00078000,2026-08-26 13:51:57+00:00,78.0,0.33,0.0,1.29,0.0,0.0,2.0,701,0.4804739453125,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00078500,2026-08-25 13:34:49+00:00,78.5,0.38,0.0,2.3,0.0,0.0,80.0,80,0.7063017651367188,False,REGULAR,USD,call,2026-08-30,2026-09-11
KRE260911C00079000,2026-08-24 18:16:32+00:00,79.0,0.3,0.0,0.18,0.0,0.0,1.0,79,0.25586681640625003,False,REGULAR,USD,call,2026-08-30,2026-09-11
